age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
18-24,178,200,378,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
25-29,76,92,168,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
30-34,91,82,173,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
35-39,100,95,195,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
40-44,121,121,242,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
45-49,120,112,232,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
50-54,146,121,267,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
55-59,130,130,260,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
60-64,157,157,314,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
65-69,137,186,323,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
70-74,107,130,237,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
75+,147,184,331,Çorum,Boğazkale,20.0,3120.0,2790.0,2709.0,1765.0,453.0,7.0,8.0,34.0,188.0,33.0,170.0,44.0,7.0,0.0
18-24,17125,17871,34996,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
25-29,13542,13375,26917,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
30-34,14144,14164,28308,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
35-39,15310,15383,30693,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
40-44,13651,13955,27606,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
45-49,12072,12129,24201,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
50-54,10553,10653,21206,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
55-59,8644,9095,17739,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
60-64,7314,7697,15011,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
65-69,5366,5835,11201,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
70-74,3533,4068,7601,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
75+,4213,6086,10299,Kocaeli,İzmit,752.0,255778.0,230498.0,226260.0,97268.0,22554.0,314.0,438.0,9991.0,58348.0,5021.0,29367.0,2120.0,749.0,90.0
18-24,670,650,1320,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
25-29,332,340,672,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
30-34,382,374,756,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
