age,male,female,all,city,district
18-24,178,200,378,Çorum,Boğazkale
25-29,76,92,168,Çorum,Boğazkale
30-34,91,82,173,Çorum,Boğazkale
35-39,100,95,195,Çorum,Boğazkale
40-44,121,121,242,Çorum,Boğazkale
45-49,120,112,232,Çorum,Boğazkale
50-54,146,121,267,Çorum,Boğazkale
55-59,130,130,260,Çorum,Boğazkale
60-64,157,157,314,Çorum,Boğazkale
65-69,137,186,323,Çorum,Boğazkale
70-74,107,130,237,Çorum,Boğazkale
75+,147,184,331,Çorum,Boğazkale
18-24,17125,17871,34996,Kocaeli,İzmit
25-29,13542,13375,26917,Kocaeli,İzmit
30-34,14144,14164,28308,Kocaeli,İzmit
35-39,15310,15383,30693,Kocaeli,İzmit
40-44,13651,13955,27606,Kocaeli,İzmit
45-49,12072,12129,24201,Kocaeli,İzmit
50-54,10553,10653,21206,Kocaeli,İzmit
55-59,8644,9095,17739,Kocaeli,İzmit
60-64,7314,7697,15011,Kocaeli,İzmit
65-69,5366,5835,11201,Kocaeli,İzmit
70-74,3533,4068,7601,Kocaeli,İzmit
75+,4213,6086,10299,Kocaeli,İzmit
18-24,670,650,1320,Afyonkarahisar,Sultandağı
25-29,332,340,672,Afyonkarahisar,Sultandağı
30-34,382,374,756,Afyonkarahisar,Sultandağı
35-39,455,420,875,Afyonkarahisar,Sultandağı
40-44,420,473,893,Afyonkarahisar,Sultandağı
45-49,532,535,1067,Afyonkarahisar,Sultandağı
50-54,522,641,1163,Afyonkarahisar,Sultandağı
55-59,705,720,1425,Afyonkarahisar,Sultandağı
60-64,615,691,1306,Afyonkarahisar,Sultandağı
65-69,587,631,1218,Afyonkarahisar,Sultandağı
70-74,336,485,821,Afyonkarahisar,Sultandağı
75+,459,724,1183,Afyonkarahisar,Sultandağı
18-24,3063,2975,6038,Kahramanmaraş,Göksun
25-29,1744,1617,3361,Kahramanmaraş,Göksun
30-34,1764,1534,3298,Kahramanmaraş,Göksun
35-39,1681,1687,3368,Kahramanmaraş,Göksun
40-44,1452,1477,2929,Kahramanmaraş,Göksun
45-49,1553,1610,3163,Kahramanmaraş,Göksun
