district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Altıntaş,52,12447,11019,10720,6152,1984,23,29,64,1218,143,962,133,12,0,Kütahya
Domaniç,53,11945,11056,10698,6073,1304,37,50,64,1344,247,1449,117,13,0,Kütahya
Emet,70,15888,14465,14133,8363,2383,24,29,49,1344,424,1311,179,27,0,Kütahya
Gediz,154,38202,35221,34276,19464,4942,83,100,127,3823,330,4949,402,56,0,Kütahya
Kütahya Merkez,597,181076,165013,162388,79048,37574,252,253,1484,23636,3032,14748,2017,344,0,Kütahya
Simav,209,50435,45939,44538,26609,5067,160,207,200,5252,584,5911,468,80,0,Kütahya
Tavşanlı,286,77636,72096,70467,40426,11586,133,128,571,7104,1656,7889,805,169,0,Kütahya
Aslanapa,39,7501,7051,6915,4297,1576,11,16,10,287,67,500,147,4,0,Kütahya
Dumlupınar,14,2419,2136,2072,1013,365,7,9,7,397,35,203,32,4,0,Kütahya
Hisarcık,44,9808,8805,8580,4866,1389,27,18,28,841,112,1175,116,8,0,Kütahya
Şaphane,25,5133,4605,4414,2630,483,14,25,20,642,60,493,42,5,0,Kütahya
Çavdarhisar,31,5460,4854,4664,2730,653,26,20,32,582,91,470,55,5,0,Kütahya
Pazarlar,20,4166,3764,3621,2268,431,14,16,22,338,60,441,29,2,0,Kütahya
Araban,84,20271,17320,16817,8865,2202,113,45,2377,1952,221,881,149,12,0,Gaziantep
İslahiye,155,43348,37436,36430,19072,3231,143,100,4616,5384,417,3112,305,50,0,Gaziantep
Nizip,307,87621,74158,72508,40113,7959,975,118,6998,8796,1163,5583,690,113,0,Gaziantep
Oğuzeli,115,19461,17438,17164,7662,4566,61,26,227,2772,190,1386,256,18,0,Gaziantep
